Layer 4 Structure — BTCEUR 60m
============================================================
Candles: 200  Swing highs: 23  Swing lows: 23
Median range: 322.45  Tolerance (50%): 161.23

── HIGH SEQUENCE ──
idx   wick         delta        label         
---------------------------------------------
2     55429.00     +0.00       START_HIGH    
7     55180.30     -248.70     LH1           
12    55055.40     -124.90     EH1           
16    54934.60     -120.80     EH2           
21    54300.00     -634.60     LH2           
33    53825.90     -474.10     LH3           
44    53425.50     -400.40     LH4           
57    53035.60     -389.90     LH5           
68    54822.00     +1786.40    HH1           
77    54216.10     -605.90     LH6           
82    55862.10     +1646.00    HH2           
99    55630.50     -231.60     LH7           
105   55348.40     -282.10     LH8           
113   54995.80     -352.60     LH9           
128   53912.80     -1083.00    LH10          
133   53680.80     -232.00     LH11          
139   53438.70     -242.10     LH12          
147   54399.80     +961.10     HH3           
167   54785.50     +385.70     HH4           
174   55186.10     +400.60     HH5           
180   55063.10     -123.00     EH3           
184   55103.40     +40.30      EH4           
195   55594.20     +490.80     HH6           

Highs: {'START_HIGH': 1, 'LH': 12, 'EH': 4, 'HH': 6}

── LOW SEQUENCE ──
idx   wick         delta        label         
---------------------------------------------
5     54140.10     +0.00       START_LOW     
9     54324.30     +184.20     HL1           
18    52644.50     -1679.80    LL1           
30    51327.70     -1316.80    LL2           
40    51719.10     +391.40     HL2           
46    52348.20     +629.10     HL3           
51    52500.10     +151.90     EL1           
54    52518.00     +17.90      EL2           
58    52555.00     +37.00      EL3           
72    53575.10     +1020.10    HL4           
79    53207.20     -367.90     LL3           
89    54140.10     +932.90     HL5           
96    54313.10     +173.00     HL6           
108   54150.00     -163.10     LL4           
124   52684.20     -1465.80    LL5           
137   52888.10     +203.90     HL7           
141   52600.00     -288.10     LL6           
154   52964.80     +364.80     HL8           
168   54200.00     +1235.20    HL9           
173   54143.10     -56.90      EL4           
179   54658.50     +515.40     HL10          
186   54282.10     -376.40     LL7           
193   54451.40     +169.30     HL11          

Lows: {'START_LOW': 1, 'HL': 11, 'LL': 7, 'EL': 4}
