Layer 4 Structure — BTCEUR 5m
============================================================
Candles: 200  Swing highs: 20  Swing lows: 26
Median range: 73.70  Tolerance (50%): 36.85

── HIGH SEQUENCE ──
idx   wick         delta        label         
---------------------------------------------
14    55103.40     +0.00       START_HIGH    
31    54789.30     -314.10     LH1           
45    54503.80     -285.50     LH2           
60    54862.70     +358.90     HH1           
74    55148.10     +285.40     HH2           
77    55122.20     -25.90      EH1           
85    55071.70     -50.50      LH3           
93    55150.00     +78.30      HH3           
101   55106.50     -43.50      LH4           
114   54902.40     -204.10     LH5           
119   54858.60     -43.80      LH6           
124   54731.70     -126.90     LH7           
143   55594.20     +862.50     HH4           
155   55265.00     -329.20     LH8           
160   55282.60     +17.60      EH2           
165   55345.80     +63.20      HH5           
171   55187.20     -158.60     LH9           
178   55211.70     +24.50      EH3           
184   55184.10     -27.60      EH4           
195   55111.00     -73.10      LH10          

Highs: {'START_HIGH': 1, 'LH': 10, 'HH': 5, 'EH': 4}

── LOW SEQUENCE ──
idx   wick         delta        label         
---------------------------------------------
9     54780.00     +0.00       START_LOW     
16    54964.90     +184.90     HL1           
22    54766.90     -198.00     LL1           
27    54718.00     -48.90      LL2           
30    54702.00     -16.00      EL1           
39    54282.10     -419.90     LL3           
47    54400.00     +117.90     HL2           
51    54422.30     +22.30      EL2           
64    54679.20     +256.90     HL3           
69    54745.40     +66.20      HL4           
80    54915.90     +170.50     HL5           
85    54902.50     -13.40      EL3           
92    54972.20     +69.70      HL6           
100   54973.20     +1.00       EL4           
112   54770.00     -203.20     LL4           
115   54771.10     +1.10       EL5           
124   54451.40     -319.70     LL5           
127   54483.30     +31.90      EL6           
137   54819.20     +335.90     HL7           
152   54892.90     +73.70      HL8           
159   55096.50     +203.60     HL9           
169   55051.10     -45.40      LL6           
180   55005.00     -46.10      LL7           
187   55000.20     -4.80       EL7           
191   54986.80     -13.40      EL8           
194   54977.60     -9.20       EL9           

Lows: {'START_LOW': 1, 'HL': 9, 'LL': 7, 'EL': 9}
